site;year;adult;young;cox;coy;ele;len;pre;pro;wid;cor;spm;spr;bm;bv
bz52;2013;120;80;;;;;;;;;;;;
bz53;2013;60;15;;;;;;;;;;;;
bz54;2013;5;0;;;;;;;;;;;;
bz55;2013;725;10;;;;;;;;;;;;
bz56;2013;75;40;;;;;;;;;;;;
bz57;2013;50;0;;;;;;;;;;;;
bz58;2013;1;0;;;;;;;;;;;;
bz59;2013;1;0;;;;;;;;;;;;
tn1;2013;9;0;;;;;;;;;;;;
tn2;2013;0;4;;;;;;;;;;;;
tn3;2013;7;0;;;;;;;;;;;;
tn4;2013;2;0;;;;;;;;;;;;
tn5;2013;0;0;;;;;;;;;;;;
tn6;2013;16;6;;;;;;;;;;;;
tn7;2013;1;0;;;;;;;;;;;;
tn8;2013;325;40;;;;;;;;;;;;
tn9;2013;75;10;;;;;;;;;;;;
tn10;2013;2;0;;;;;;;;;;;;
tn11;2013;0;0;;;;;;;;;;;;
tn12;2013;0;0;;;;;;;;;;;;
tn13;2013;50;2;;;;;;;;;;;;
tn14;2013;12;0;;;;;;;;;;;;
tn15;2013;0;2;;;;;;;;;;;;
tn16;2013;0;0;;;;;;;;;;;;
tn17;2013;0;0;;;;;;;;;;;;
tn18;2013;0;0;;;;;;;;;;;;
tn19;2013;7;0;;;;;;;;;;;;
tn20;2013;0;0;;;;;;;;;;;;
tn21;2013;1;0;;;;;;;;;;;;
bl1;2013;NA;NA;;;;;;;;;;;;
bl2;2013;NA;NA;;;;;;;;;;;;
bl3;2013;NA;NA;;;;;;;;;;;;
bl4;2013;NA;NA;;;;;;;;;;;;
bl5;2013;NA;NA;;;;;;;;;;;;
bl6;2013;NA;NA;;;;;;;;;;;;
bl7;2013;NA;NA;;;;;;;;;;;;
bl8;2013;NA;NA;;;;;;;;;;;;
bl9;2013;NA;NA;;;;;;;;;;;;
bl10;2013;NA;NA;;;;;;;;;;;;
bl11;2013;NA;NA;;;;;;;;;;;;
bl12;2013;NA;NA;;;;;;;;;;;;
bl13;2013;NA;NA;;;;;;;;;;;;
bl14;2013;NA;NA;;;;;;;;;;;;
bl15;2013;NA;NA;;;;;;;;;;;;
bl16;2013;NA;NA;;;;;;;;;;;;
bl17;2013;NA;NA;;;;;;;;;;;;
vi1;2013;NA;NA;;;;;;;;;;;;
vi2;2013;NA;NA;;;;;;;;;;;;
pd1;2013;NA;NA;;;;;;;;;;;;
bz1;2014;0;0;;;;;;;;;;;;
bz2;2014;0;0;;;;;;;;;;;;
bz3;2014;0;0;;;;;;;;;;;;
bz4;2014;9;0;;;;;;;;;;;;
bz5;2014;150;10;;;;;;;;;;;;
bz6;2014;1;0;;;;;;;;;;;;
bz7;2014;3;0;;;;;;;;;;;;
bz8;2014;7;0;;;;;;;;;;;;
bz9;2014;0;0;;;;;;;;;;;;
bz10;2014;0;0;;;;;;;;;;;;
bz11;2014;6;60;;;;;;;;;;;;
bz12;2014;NA;NA;;;;;;;;;;;;
bz13;2014;270;400;;;;;;;;;;;;
bz14;2014;275;0;;;;;;;;;;;;
bz15;2014;275;20;;;;;;;;;;;;
bz16;2014;3000;3000;;;;;;;;;;;;
bz17;2014;NA;NA;;;;;;;;;;;;
bz18;2014;0;0;;;;;;;;;;;;
bz19;2014;0;0;;;;;;;;;;;;
bz20;2014;4;0;;;;;;;;;;;;
bz21;2014;1;0;;;;;;;;;;;;
bz22;2014;0;0;;;;;;;;;;;;
bz23;2014;0;0;;;;;;;;;;;;
bz24;2014;0;0;;;;;;;;;;;;
bz25;2014;900;100;;;;;;;;;;;;
bz26;2014;3000;300;;;;;;;;;;;;
bz27;2014;35;0;;;;;;;;;;;;
bz28;2014;1;0;;;;;;;;;;;;
bz29;2014;10;0;;;;;;;;;;;;
bz30;2014;0;0;;;;;;;;;;;;
bz31;2014;210;30;;;;;;;;;;;;
bz32;2014;5;0;;;;;;;;;;;;
bz33;2014;45;0;;;;;;;;;;;;
bz34;2014;0;0;;;;;;;;;;;;
bz35;2014;0;0;;;;;;;;;;;;
bz36;2014;10;0;;;;;;;;;;;;
bz37;2014;0;0;;;;;;;;;;;;
bz38;2014;60;10;;;;;;;;;;;;
bz39;2014;0;0;;;;;;;;;;;;
bz40;2014;0;0;;;;;;;;;;;;
bz41;2014;6;4;;;;;;;;;;;;
bz42;2014;30;35;;;;;;;;;;;;
bz43;2014;16;0;;;;;;;;;;;;
bz44;2014;0;0;;;;;;;;;;;;
bz45;2014;650;10;;;;;;;;;;;;
bz46;2014;12;0;;;;;;;;;;;;
bz47;2014;0;0;;;;;;;;;;;;
bz48;2014;0;0;;;;;;;;;;;;
bz49;2014;2;0;;;;;;;;;;;;
bz50;2014;4;2;;;;;;;;;;;;
bz51;2014;10;0;;;;;;;;;;;;
bz52;2014;165;80;;;;;;;;;;;;
bz53;2014;65;20;;;;;;;;;;;;
bz54;2014;5;0;;;;;;;;;;;;
bz55;2014;700;10;;;;;;;;;;;;
bz56;2014;100;40;;;;;;;;;;;;
bz57;2014;50;0;;;;;;;;;;;;
bz58;2014;1;0;;;;;;;;;;;;
bz59;2014;1;0;;;;;;;;;;;;
tn1;2014;6;0;;;;;;;;;;;;
tn2;2014;4;0;;;;;;;;;;;;
tn3;2014;7;0;;;;;;;;;;;;
tn4;2014;1;0;;;;;;;;;;;;
tn5;2014;0;0;;;;;;;;;;;;
tn6;2014;17;5;;;;;;;;;;;;
tn7;2014;1;0;;;;;;;;;;;;
tn8;2014;295;30;;;;;;;;;;;;
tn9;2014;80;70;;;;;;;;;;;;
tn10;2014;1;0;;;;;;;;;;;;
tn11;2014;0;0;;;;;;;;;;;;
tn12;2014;0;0;;;;;;;;;;;;
tn13;2014;30;2;;;;;;;;;;;;
tn14;2014;9;0;;;;;;;;;;;;
tn15;2014;0;0;;;;;;;;;;;;
tn16;2014;0;0;;;;;;;;;;;;
tn17;2014;0;0;;;;;;;;;;;;
tn18;2014;0;0;;;;;;;;;;;;
tn19;2014;6;0;;;;;;;;;;;;
tn20;2014;0;0;;;;;;;;;;;;
tn21;2014;0;0;;;;;;;;;;;;
bl1;2014;NA;NA;;;;;;;;;;;;
bl2;2014;NA;NA;;;;;;;;;;;;
bl3;2014;NA;NA;;;;;;;;;;;;
bl4;2014;NA;NA;;;;;;;;;;;;
bl5;2014;NA;NA;;;;;;;;;;;;
bl6;2014;NA;NA;;;;;;;;;;;;
bl7;2014;NA;NA;;;;;;;;;;;;
bl8;2014;NA;NA;;;;;;;;;;;;
bl9;2014;NA;NA;;;;;;;;;;;;
bl10;2014;NA;NA;;;;;;;;;;;;
bl11;2014;NA;NA;;;;;;;;;;;;
bl12;2014;NA;NA;;;;;;;;;;;;
bl13;2014;NA;NA;;;;;;;;;;;;
bl14;2014;NA;NA;;;;;;;;;;;;
bl15;2014;NA;NA;;;;;;;;;;;;
bl16;2014;NA;NA;;;;;;;;;;;;
bl17;2014;NA;NA;;;;;;;;;;;;
vi1;2014;NA;NA;;;;;;;;;;;;
vi2;2014;NA;NA;;;;;;;;;;;;
pd1;2014;NA;NA;;;;;;;;;;;;
bz1;2015;0;0;;;;;;;;;;;;
bz2;2015;0;0;;;;;;;;;;;;
bz3;2015;0;0;;;;;;;;;;;;
bz4;2015;9;0;;;;;;;;;;;;
bz5;2015;150;10;;;;;;;;;;;;
bz6;2015;1;0;;;;;;;;;;;;
bz7;2015;3;0;;;;;;;;;;;;
bz8;2015;6;0;;;;;;;;;;;;
bz9;2015;0;0;;;;;;;;;;;;
bz10;2015;0;0;;;;;;;;;;;;
bz11;2015;21;35;;;;;;;;;;;;
bz12;2015;65;0;;;;;;;;;;;;
bz13;2015;250;300;;;;;;;;;;;;
bz14;2015;250;0;;;;;;;;;;;;
bz15;2015;250;20;;;;;;;;;;;;
bz16;2015;2500;2000;;;;;;;;;;;;
bz17;2015;NA;NA;;;;;;;;;;;;
bz18;2015;0;0;;;;;;;;;;;;
bz19;2015;0;0;;;;;;;;;;;;
bz20;2015;4;0;;;;;;;;;;;;
bz21;2015;1;0;;;;;;;;;;;;
bz22;2015;0;0;;;;;;;;;;;;
bz23;2015;0;0;;;;;;;;;;;;
bz24;2015;0;0;;;;;;;;;;;;
bz25;2015;900;150;;;;;;;;;;;;
bz26;2015;2500;1000;;;;;;;;;;;;
bz27;2015;35;0;;;;;;;;;;;;
bz28;2015;1;0;;;;;;;;;;;;
bz29;2015;10;0;;;;;;;;;;;;
bz30;2015;0;0;;;;;;;;;;;;
bz31;2015;190;100;;;;;;;;;;;;
bz32;2015;5;0;;;;;;;;;;;;
bz33;2015;44;0;;;;;;;;;;;;
bz34;2015;0;0;;;;;;;;;;;;
bz35;2015;0;0;;;;;;;;;;;;
bz36;2015;4;0;;;;;;;;;;;;
bz37;2015;0;0;;;;;;;;;;;;
bz38;2015;60;10;;;;;;;;;;;;
bz39;2015;0;0;;;;;;;;;;;;
bz40;2015;0;0;;;;;;;;;;;;
bz41;2015;5;8;;;;;;;;;;;;
bz42;2015;25;25;;;;;;;;;;;;
bz43;2015;14;200;;;;;;;;;;;;
bz44;2015;0;0;;;;;;;;;;;;
bz45;2015;600;10;;;;;;;;;;;;
bz46;2015;12;0;;;;;;;;;;;;
bz47;2015;0;0;;;;;;;;;;;;
bz48;2015;0;0;;;;;;;;;;;;
bz49;2015;1;0;;;;;;;;;;;;
bz50;2015;4;2;;;;;;;;;;;;
bz51;2015;6;0;;;;;;;;;;;;
bz52;2015;165;80;;;;;;;;;;;;
bz53;2015;65;20;;;;;;;;;;;;
bz54;2015;5;0;;;;;;;;;;;;
bz55;2015;500;10;;;;;;;;;;;;
bz56;2015;110;40;;;;;;;;;;;;
bz57;2015;50;0;;;;;;;;;;;;
bz58;2015;1;0;;;;;;;;;;;;
bz59;2015;1;0;;;;;;;;;;;;
tn1;2015;3;0;;;;;;;;;;;;
tn2;2015;4;0;;;;;;;;;;;;
tn3;2015;7;40;;;;;;;;;;;;
tn4;2015;0;0;;;;;;;;;;;;
tn5;2015;0;0;;;;;;;;;;;;
tn6;2015;15;0;;;;;;;;;;;;
tn7;2015;0;0;;;;;;;;;;;;
tn8;2015;300;20;;;;;;;;;;;;
tn9;2015;75;50;;;;;;;;;;;;
tn10;2015;1;0;;;;;;;;;;;;
tn11;2015;0;0;;;;;;;;;;;;
tn12;2015;0;0;;;;;;;;;;;;
tn13;2015;15;0;;;;;;;;;;;;
tn14;2015;9;0;;;;;;;;;;;;
tn15;2015;2;10;;;;;;;;;;;;
tn16;2015;0;0;;;;;;;;;;;;
tn17;2015;0;0;;;;;;;;;;;;
tn18;2015;0;0;;;;;;;;;;;;
tn19;2015;6;0;;;;;;;;;;;;
tn20;2015;0;0;;;;;;;;;;;;
tn21;2015;0;0;;;;;;;;;;;;
bl1;2015;NA;NA;;;;;;;;;;;;
bl2;2015;NA;NA;;;;;;;;;;;;
bl3;2015;NA;NA;;;;;;;;;;;;
bl4;2015;NA;NA;;;;;;;;;;;;
bl5;2015;NA;NA;;;;;;;;;;;;
bl6;2015;NA;NA;;;;;;;;;;;;
bl7;2015;NA;NA;;;;;;;;;;;;
bl8;2015;NA;NA;;;;;;;;;;;;
bl9;2015;NA;NA;;;;;;;;;;;;
bl10;2015;NA;NA;;;;;;;;;;;;
bl11;2015;NA;NA;;;;;;;;;;;;
bl12;2015;NA;NA;;;;;;;;;;;;
bl13;2015;NA;NA;;;;;;;;;;;;
bl14;2015;NA;NA;;;;;;;;;;;;
bl15;2015;NA;NA;;;;;;;;;;;;
bl16;2015;NA;NA;;;;;;;;;;;;
bl17;2015;NA;NA;;;;;;;;;;;;
vi1;2015;NA;NA;;;;;;;;;;;;
vi2;2015;NA;NA;;;;;;;;;;;;
pd1;2015;NA;NA;;;;;;;;;;;;
bz1;2016;0;0;;;;;;;;;;;;
bz2;2016;0;0;;;;;;;;;;;;
bz3;2016;0;0;;;;;;;;;;;;
bz4;2016;9;0;;;;;;;;;;;;
bz5;2016;150;10;;;;;;;;;;;;
bz6;2016;1;0;;;;;;;;;;;;
bz7;2016;3;0;;;;;;;;;;;;
bz8;2016;5;0;;;;;;;;;;;;
bz9;2016;0;0;;;;;;;;;;;;
bz10;2016;0;0;;;;;;;;;;;;
bz11;2016;50;25;;;;;;;;;;;;
bz12;2016;63;30;;;;;;;;;;;;
bz13;2016;270;800;;;;;;;;;;;;
bz14;2016;250;0;;;;;;;;;;;;
bz15;2016;250;0;;;;;;;;;;;;
bz16;2016;2000;2000;;;;;;;;;;;;
bz17;2016;22;0;;;;;;;;;;;;
bz18;2016;0;0;;;;;;;;;;;;
bz19;2016;0;0;;;;;;;;;;;;
bz20;2016;4;0;;;;;;;;;;;;
bz21;2016;1;0;;;;;;;;;;;;
bz22;2016;0;0;;;;;;;;;;;;
bz23;2016;0;0;;;;;;;;;;;;
bz24;2016;0;0;;;;;;;;;;;;
bz25;2016;800;100;;;;;;;;;;;;
bz26;2016;2500;1000;;;;;;;;;;;;
bz27;2016;5;0;;;;;;;;;;;;
bz28;2016;1;0;;;;;;;;;;;;
bz29;2016;6;0;;;;;;;;;;;;
bz30;2016;0;0;;;;;;;;;;;;
bz31;2016;240;500;;;;;;;;;;;;
bz32;2016;3;0;;;;;;;;;;;;
bz33;2016;20;0;;;;;;;;;;;;
bz34;2016;0;0;;;;;;;;;;;;
bz35;2016;0;0;;;;;;;;;;;;
bz36;2016;0;0;;;;;;;;;;;;
bz37;2016;0;0;;;;;;;;;;;;
bz38;2016;45;0;;;;;;;;;;;;
bz39;2016;0;0;;;;;;;;;;;;
bz40;2016;0;0;;;;;;;;;;;;
bz41;2016;9;5;;;;;;;;;;;;
bz42;2016;20;0;;;;;;;;;;;;
bz43;2016;150;80;;;;;;;;;;;;
bz44;2016;0;0;;;;;;;;;;;;
bz45;2016;500;5;;;;;;;;;;;;
bz46;2016;11;0;;;;;;;;;;;;
bz47;2016;0;0;;;;;;;;;;;;
bz48;2016;0;0;;;;;;;;;;;;
bz49;2016;0;0;;;;;;;;;;;;
bz50;2016;2;0;;;;;;;;;;;;
bz51;2016;2;0;;;;;;;;;;;;
bz52;2016;80;20;;;;;;;;;;;;
bz53;2016;30;5;;;;;;;;;;;;
bz54;2016;5;0;;;;;;;;;;;;
bz55;2016;450;10;;;;;;;;;;;;
bz56;2016;100;20;;;;;;;;;;;;
bz57;2016;50;0;;;;;;;;;;;;
bz58;2016;1;0;;;;;;;;;;;;
bz59;2016;1;0;;;;;;;;;;;;
tn1;2016;3;0;;;;;;;;;;;;
tn2;2016;4;0;;;;;;;;;;;;
tn3;2016;8;60;;;;;;;;;;;;
tn4;2016;0;0;;;;;;;;;;;;
tn5;2016;0;0;;;;;;;;;;;;
tn6;2016;13;0;;;;;;;;;;;;
tn7;2016;0;0;;;;;;;;;;;;
tn8;2016;290;15;;;;;;;;;;;;
tn9;2016;35;5;;;;;;;;;;;;
tn10;2016;0;0;;;;;;;;;;;;
tn11;2016;0;0;;;;;;;;;;;;
tn12;2016;0;0;;;;;;;;;;;;
tn13;2016;4;0;;;;;;;;;;;;
tn14;2016;5;0;;;;;;;;;;;;
tn15;2016;2;10;;;;;;;;;;;;
tn16;2016;0;0;;;;;;;;;;;;
tn17;2016;0;0;;;;;;;;;;;;
tn18;2016;0;0;;;;;;;;;;;;
tn19;2016;5;0;;;;;;;;;;;;
tn20;2016;0;0;;;;;;;;;;;;
tn21;2016;0;0;;;;;;;;;;;;
bl1;2016;3500;700;;;;;;;;;;;;
bl2;2016;55;40;;;;;;;;;;;;
bl3;2016;0;0;;;;;;;;;;;;
bl4;2016;NA;NA;;;;;;;;;;;;
bl5;2016;0;0;;;;;;;;;;;;
bl6;2016;0;0;;;;;;;;;;;;
bl7;2016;0;0;;;;;;;;;;;;
bl8;2016;8;0;;;;;;;;;;;;
bl9;2016;1500;3300;;;;;;;;;;;;
bl10;2016;360;50;;;;;;;;;;;;
bl11;2016;0;0;;;;;;;;;;;;
bl12;2016;0;0;;;;;;;;;;;;
bl13;2016;0;0;;;;;;;;;;;;
bl14;2016;1800;20;;;;;;;;;;;;
bl15;2016;430;100;;;;;;;;;;;;
bl16;2016;0;0;;;;;;;;;;;;
bl17;2016;0;0;;;;;;;;;;;;
vi1;2016;0;0;;;;;;;;;;;;
vi2;2016;0;0;;;;;;;;;;;;
pd1;2016;0;0;;;;;;;;;;;;
bz1;2017;0;0;;;;;;;;;;;;
bz2;2017;0;0;;;;;;;;;;;;
bz3;2017;0;0;;;;;;;;;;;;
bz4;2017;9;0;;;;;;;;;;;;
bz5;2017;150;10;;;;;;;;;;;;
bz6;2017;1;0;;;;;;;;;;;;
bz7;2017;2;0;;;;;;;;;;;;
bz8;2017;5;0;;;;;;;;;;;;
bz9;2017;0;0;;;;;;;;;;;;
bz10;2017;0;0;;;;;;;;;;;;
bz11;2017;60;30;;;;;;;;;;;;
bz12;2017;60;100;;;;;;;;;;;;
bz13;2017;250;300;;;;;;;;;;;;
bz14;2017;250;10;;;;;;;;;;;;
bz15;2017;250;10;;;;;;;;;;;;
bz16;2017;2000;2000;;;;;;;;;;;;
bz17;2017;19;10;;;;;;;;;;;;
bz18;2017;0;0;;;;;;;;;;;;
bz19;2017;0;0;;;;;;;;;;;;
bz20;2017;4;0;;;;;;;;;;;;
bz21;2017;1;10;;;;;;;;;;;;
bz22;2017;0;0;;;;;;;;;;;;
bz23;2017;0;0;;;;;;;;;;;;
bz24;2017;0;0;;;;;;;;;;;;
bz25;2017;800;100;;;;;;;;;;;;
bz26;2017;2500;1000;;;;;;;;;;;;
bz27;2017;5;0;;;;;;;;;;;;
bz28;2017;1;0;;;;;;;;;;;;
bz29;2017;6;0;;;;;;;;;;;;
bz30;2017;0;0;;;;;;;;;;;;
bz31;2017;550;3000;;;;;;;;;;;;
bz32;2017;3;0;;;;;;;;;;;;
bz33;2017;20;100;;;;;;;;;;;;
bz34;2017;0;0;;;;;;;;;;;;
bz35;2017;0;0;;;;;;;;;;;;
bz36;2017;0;0;;;;;;;;;;;;
bz37;2017;0;0;;;;;;;;;;;;
bz38;2017;45;10;;;;;;;;;;;;
bz39;2017;0;0;;;;;;;;;;;;
bz40;2017;0;0;;;;;;;;;;;;
bz41;2017;11;0;;;;;;;;;;;;
bz42;2017;20;0;;;;;;;;;;;;
bz43;2017;120;50;;;;;;;;;;;;
bz44;2017;0;0;;;;;;;;;;;;
bz45;2017;500;10;;;;;;;;;;;;
bz46;2017;10;0;;;;;;;;;;;;
bz47;2017;0;0;;;;;;;;;;;;
bz48;2017;0;0;;;;;;;;;;;;
bz49;2017;0;0;;;;;;;;;;;;
bz50;2017;2;0;;;;;;;;;;;;
bz51;2017;2;0;;;;;;;;;;;;
bz52;2017;50;10;;;;;;;;;;;;
bz53;2017;20;10;;;;;;;;;;;;
bz54;2017;5;0;;;;;;;;;;;;
bz55;2017;400;10;;;;;;;;;;;;
bz56;2017;100;20;;;;;;;;;;;;
bz57;2017;50;0;;;;;;;;;;;;
bz58;2017;1;0;;;;;;;;;;;;
bz59;2017;0;0;;;;;;;;;;;;
tn1;2017;2;0;;;;;;;;;;;;
tn2;2017;3;0;;;;;;;;;;;;
tn3;2017;35;30;;;;;;;;;;;;
tn4;2017;0;0;;;;;;;;;;;;
tn5;2017;0;0;;;;;;;;;;;;
tn6;2017;10;1;;;;;;;;;;;;
tn7;2017;0;0;;;;;;;;;;;;
tn8;2017;275;15;;;;;;;;;;;;
tn9;2017;30;80;;;;;;;;;;;;
tn10;2017;0;0;;;;;;;;;;;;
tn11;2017;0;0;;;;;;;;;;;;
tn12;2017;0;0;;;;;;;;;;;;
tn13;2017;3;0;;;;;;;;;;;;
tn14;2017;3;0;;;;;;;;;;;;
tn15;2017;9;2;;;;;;;;;;;;
tn16;2017;0;0;;;;;;;;;;;;
tn17;2017;0;0;;;;;;;;;;;;
tn18;2017;0;0;;;;;;;;;;;;
tn19;2017;5;0;;;;;;;;;;;;
tn20;2017;0;0;;;;;;;;;;;;
tn21;2017;0;0;;;;;;;;;;;;
bl1;2017;3500;600;;;;;;;;;;;;
bl2;2017;60;30;;;;;;;;;;;;
bl3;2017;0;0;;;;;;;;;;;;
bl4;2017;20;25;;;;;;;;;;;;
bl5;2017;0;0;;;;;;;;;;;;
bl6;2017;0;0;;;;;;;;;;;;
bl7;2017;0;0;;;;;;;;;;;;
bl8;2017;8;0;;;;;;;;;;;;
bl9;2017;2500;2000;;;;;;;;;;;;
bl10;2017;370;70;;;;;;;;;;;;
bl11;2017;0;0;;;;;;;;;;;;
bl12;2017;0;0;;;;;;;;;;;;
bl13;2017;0;0;;;;;;;;;;;;
bl14;2017;1800;20;;;;;;;;;;;;
bl15;2017;450;70;;;;;;;;;;;;
bl16;2017;0;0;;;;;;;;;;;;
bl17;2017;0;0;;;;;;;;;;;;
vi1;2017;0;0;;;;;;;;;;;;
vi2;2017;0;0;;;;;;;;;;;;
pd1;2017;0;0;;;;;;;;;;;;
bz1;2018;NA;NA;;;;;;;;;;;;
bz2;2018;NA;NA;;;;;;;;;;;;
bz3;2018;NA;NA;;;;;;;;;;;;
bz4;2018;NA;NA;;;;;;;;;;;;
bz5;2018;NA;NA;;;;;;;;;;;;
bz6;2018;NA;NA;;;;;;;;;;;;
bz7;2018;NA;NA;;;;;;;;;;;;
bz8;2018;NA;NA;;;;;;;;;;;;
bz9;2018;NA;NA;;;;;;;;;;;;
bz10;2018;NA;NA;;;;;;;;;;;;
bz11;2018;NA;NA;;;;;;;;;;;;
bz12;2018;NA;NA;;;;;;;;;;;;
bz13;2018;NA;NA;;;;;;;;;;;;
bz14;2018;NA;NA;;;;;;;;;;;;
bz15;2018;NA;NA;;;;;;;;;;;;
bz16;2018;NA;NA;;;;;;;;;;;;
bz17;2018;NA;NA;;;;;;;;;;;;
bz18;2018;NA;NA;;;;;;;;;;;;
bz19;2018;NA;NA;;;;;;;;;;;;
bz20;2018;NA;NA;;;;;;;;;;;;
bz21;2018;NA;NA;;;;;;;;;;;;
bz22;2018;NA;NA;;;;;;;;;;;;
bz23;2018;NA;NA;;;;;;;;;;;;
bz24;2018;NA;NA;;;;;;;;;;;;
bz25;2018;NA;NA;;;;;;;;;;;;
bz26;2018;NA;NA;;;;;;;;;;;;
bz27;2018;NA;NA;;;;;;;;;;;;
bz28;2018;NA;NA;;;;;;;;;;;;
bz29;2018;NA;NA;;;;;;;;;;;;
bz30;2018;NA;NA;;;;;;;;;;;;
bz31;2018;NA;NA;;;;;;;;;;;;
bz32;2018;NA;NA;;;;;;;;;;;;
bz33;2018;NA;NA;;;;;;;;;;;;
bz34;2018;NA;NA;;;;;;;;;;;;
bz35;2018;NA;NA;;;;;;;;;;;;
bz36;2018;NA;NA;;;;;;;;;;;;
bz37;2018;NA;NA;;;;;;;;;;;;
bz38;2018;NA;NA;;;;;;;;;;;;
bz39;2018;NA;NA;;;;;;;;;;;;
bz40;2018;NA;NA;;;;;;;;;;;;
bz41;2018;NA;NA;;;;;;;;;;;;
bz42;2018;NA;NA;;;;;;;;;;;;
bz43;2018;NA;NA;;;;;;;;;;;;
bz44;2018;NA;NA;;;;;;;;;;;;
bz45;2018;NA;NA;;;;;;;;;;;;
bz46;2018;NA;NA;;;;;;;;;;;;
bz47;2018;NA;NA;;;;;;;;;;;;
bz48;2018;NA;NA;;;;;;;;;;;;
bz49;2018;NA;NA;;;;;;;;;;;;
bz50;2018;NA;NA;;;;;;;;;;;;
bz51;2018;NA;NA;;;;;;;;;;;;
bz52;2018;NA;NA;;;;;;;;;;;;
bz53;2018;NA;NA;;;;;;;;;;;;
bz54;2018;NA;NA;;;;;;;;;;;;
bz55;2018;NA;NA;;;;;;;;;;;;
bz56;2018;NA;NA;;;;;;;;;;;;
bz57;2018;NA;NA;;;;;;;;;;;;
bz58;2018;NA;NA;;;;;;;;;;;;
bz59;2018;NA;NA;;;;;;;;;;;;
tn1;2018;1;0;;;;;;;;;;;;
tn2;2018;1;0;;;;;;;;;;;;
tn3;2018;60;20;;;;;;;;;;;;
tn4;2018;0;0;;;;;;;;;;;;
tn5;2018;0;0;;;;;;;;;;;;
tn6;2018;6;0;;;;;;;;;;;;
tn7;2018;0;0;;;;;;;;;;;;
tn8;2018;270;20;;;;;;;;;;;;
tn9;2018;100;50;;;;;;;;;;;;
tn10;2018;0;0;;;;;;;;;;;;
tn11;2018;0;0;;;;;;;;;;;;
tn12;2018;0;0;;;;;;;;;;;;
tn13;2018;0;0;;;;;;;;;;;;
tn14;2018;2;0;;;;;;;;;;;;
tn15;2018;10;3;;;;;;;;;;;;
tn16;2018;0;0;;;;;;;;;;;;
tn17;2018;0;0;;;;;;;;;;;;
tn18;2018;0;0;;;;;;;;;;;;
tn19;2018;5;0;;;;;;;;;;;;
tn20;2018;0;0;;;;;;;;;;;;
tn21;2018;0;0;;;;;;;;;;;;
bl1;2018;NA;NA;;;;;;;;;;;;
bl2;2018;NA;NA;;;;;;;;;;;;
bl3;2018;NA;NA;;;;;;;;;;;;
bl4;2018;NA;NA;;;;;;;;;;;;
bl5;2018;NA;NA;;;;;;;;;;;;
bl6;2018;NA;NA;;;;;;;;;;;;
bl7;2018;NA;NA;;;;;;;;;;;;
bl8;2018;NA;NA;;;;;;;;;;;;
bl9;2018;NA;NA;;;;;;;;;;;;
bl10;2018;NA;NA;;;;;;;;;;;;
bl11;2018;NA;NA;;;;;;;;;;;;
bl12;2018;NA;NA;;;;;;;;;;;;
bl13;2018;NA;NA;;;;;;;;;;;;
bl14;2018;NA;NA;;;;;;;;;;;;
bl15;2018;NA;NA;;;;;;;;;;;;
bl16;2018;NA;NA;;;;;;;;;;;;
bl17;2018;NA;NA;;;;;;;;;;;;
vi1;2018;NA;NA;;;;;;;;;;;;
vi2;2018;NA;NA;;;;;;;;;;;;
pd1;2018;NA;NA;;;;;;;;;;;;
ud1;2009;NA;NA;12.668413;46.385445;690;550;1;1;150;180;0;0;150;NA
ud2;2009;NA;NA;12.864377;46.503554;515;300;1;1;120;170;0;1;510;NA
ud3;2009;NA;NA;13.001440;46.503423;505;3500;1;1;40;80;1;1;1000;NA
ud4;2009;NA;NA;13.002599;46.489833;475;900;1;1;30;70;1;1;NA;315
ud5;2009;NA;NA;13.067210;46.470062;440;210;1;1;40;110;0;1;260;NA
ud6;2009;NA;NA;13.052531;46.465707;420;2000;1;1;50;130;0;1;NA;120
ud7;2009;NA;NA;13.008896;46.417538;340;120;1;1;200;270;0;1;NA;NA
ud8;2009;NA;NA;13.008410;46.413950;330;100;1;1;150;200;0;1;NA;NA
ud9;2009;NA;NA;13.045012;46.386352;275;500;1;1;375;500;0;1;NA;NA
ud10;2009;NA;NA;13.106939;46.362733;230;800;1;1;375;500;0;1;NA;NA
ud11;2009;NA;NA;13.328823;46.362613;425;500;1;1;30;70;0;0;NA;NA
ud12;2009;NA;NA;13.223230;46.395642;310;100;1;1;175;230;0;1;NA;NA
ud13;2009;NA;NA;13.204087;46.399502;300;600;1;1;225;300;0;1;NA;NA
ud14;2009;NA;NA;13.116760;46.307535;210;50;1;1;560;750;0;1;NA;NA
ud15;2009;NA;NA;13.032277;46.231482;162;80;0;1;750;1000;0;1;NA;NA
ud16;2009;NA;NA;13.029365;46.229028;162;80;1;1;700;950;0;1;NA;NA
ud17;2009;NA;NA;13.029530;46.226489;160;80;0;1;675;900;0;1;NA;NA
